key,value,date
Chris Christie,0.825859136,Dec 06 2015
Chris Christie,2.261923612,Dec 13 2015
Chris Christie,1.080882944,Dec 20 2015
Chris Christie,0.750709137,Dec 27 2015
Chris Christie,0.998838796,Jan 03 2016
Chris Christie,1.702269957,Jan 10 2016
Chris Christie,1.849954244,Jan 17 2016
Chris Christie,2.739611498,Jan 24 2016
Chris Christie,2.266920436,Jan 31 2016
Chris Christie,9.314506852,Feb 07 2016
Chris Christie,1.650088297,Feb 14 2016
Chris Christie,5.074633589,Feb 21 2016
Chris Christie,10.94280217,Feb 28 2016
Chris Christie,2.245262994,Mar 06 2016
Chris Christie,1.847478852,Mar 13 2016
Chris Christie,0.893282068,Mar 20 2016
Chris Christie,1.478102599,Mar 27 2016
Ted Cruz,0.374675851,Dec 28 2014
Ted Cruz,0.393375079,Jan 04 2015
Ted Cruz,1.364626578,Jan 11 2015
Ted Cruz,1.035243194,Jan 18 2015
Ted Cruz,0.956445689,Jan 25 2015
Ted Cruz,0.544779243,Feb 01 2015
Ted Cruz,0.589420566,Feb 08 2015
Ted Cruz,0.459802607,Feb 15 2015
Ted Cruz,0.775416167,Feb 22 2015
Ted Cruz,0.594808669,Mar 01 2015
Ted Cruz,0.717954921,Mar 08 2015
Ted Cruz,1.408821331,Mar 15 2015
Ted Cruz,30.1152869,Mar 22 2015
Ted Cruz,3.747974585,Mar 29 2015
Ted Cruz,2.858256132,Apr 05 2015
Ted Cruz,3.808610587,Apr 12 2015
Ted Cruz,2.135055992,Apr 19 2015
Ted Cruz,1.815097435,Apr 26 2015
Ted Cruz,1.353936014,May 03 2015
Ted Cruz,1.453410876,May 10 2015
Ted Cruz,1.270902584,May 17 2015
Ted Cruz,1.502562313,May 24 2015
Ted Cruz,2.162340697,May 31 2015
Ted Cruz,1.142790809,Jun 07 2015
Ted Cruz,0.936367769,Jun 14 2015
Ted Cruz,1.665023673,Jun 21 2015
Ted Cruz,3.087173747,Jun 28 2015
Ted Cruz,1.860159143,Jul 05 2015
Ted Cruz,1.446296831,Jul 12 2015
Ted Cruz,2.192411365,Jul 19 2015
Ted Cruz,2.154168368,Jul 26 2015
Ted Cruz,6.577631594,Aug 02 2015
Ted Cruz,3.294860564,Aug 09 2015
Ted Cruz,2.735226227,Aug 16 2015
Ted Cruz,2.522141084,Aug 23 2015
Ted Cruz,1.917420264,Aug 30 2015
Ted Cruz,2.277271654,Sep 06 2015
Ted Cruz,4.820763541,Sep 13 2015
Ted Cruz,3.925289671,Sep 20 2015
Ted Cruz,2.417077364,Sep 27 2015
Ted Cruz,1.65349799,Oct 04 2015
Ted Cruz,1.587054354,Oct 11 2015
Ted Cruz,1.76493242,Oct 18 2015
Ted Cruz,5.928794251,Oct 25 2015
Ted Cruz,2.993559311,Nov 01 2015
Ted Cruz,4.89088276,Nov 08 2015
Ted Cruz,4.315619926,Nov 15 2015
Ted Cruz,3.558732299,Nov 22 2015
Ted Cruz,4.775942772,Nov 29 2015
Ted Cruz,6.478728536,Dec 06 2015
Ted Cruz,14.07831668,Dec 13 2015
Ted Cruz,10.00579217,Dec 20 2015
Ted Cruz,4.477947571,Dec 27 2015
Ted Cruz,8.938230928,Jan 03 2016
Ted Cruz,15.80761762,Jan 10 2016
Ted Cruz,12.40733638,Jan 17 2016
Ted Cruz,13.27701826,Jan 24 2016
Ted Cruz,37.40259084,Jan 31 2016
Ted Cruz,20.22007804,Feb 07 2016
Ted Cruz,21.38852774,Feb 14 2016
Ted Cruz,23.26146856,Feb 21 2016
Ted Cruz,34.79960212,Feb 28 2016
Ted Cruz,29.85720083,Mar 06 2016
Ted Cruz,23.67182736,Mar 13 2016
Ted Cruz,42.12934585,Mar 20 2016
Ted Cruz,41.89722685,Mar 27 2016
Carly Fiorina,0,Dec 28 2014
Carly Fiorina,0.238542946,Jan 04 2015
Carly Fiorina,0.288844944,Jan 11 2015
Carly Fiorina,0.182525244,Jan 18 2015
Carly Fiorina,0.305799842,Jan 25 2015
Carly Fiorina,0.286592333,Feb 01 2015
Carly Fiorina,0.125407322,Feb 08 2015
Carly Fiorina,0.299900643,Feb 15 2015
Carly Fiorina,0.715859998,Feb 22 2015
Carly Fiorina,0.324945101,Mar 01 2015
Carly Fiorina,0.300825581,Mar 08 2015
Carly Fiorina,0.262095645,Mar 15 2015
Carly Fiorina,0.202721769,Mar 22 2015
Carly Fiorina,1.315536254,Mar 29 2015
Carly Fiorina,0.553821732,Apr 05 2015
Carly Fiorina,0.944713637,Apr 12 2015
Carly Fiorina,1.002357219,Apr 19 2015
Carly Fiorina,0.424924869,Apr 26 2015
Carly Fiorina,6.11072212,May 03 2015
Carly Fiorina,1.203563361,May 10 2015
Carly Fiorina,0.504774768,May 17 2015
Carly Fiorina,1.061947722,May 24 2015
Carly Fiorina,0.764176508,May 31 2015
Carly Fiorina,0.873258634,Jun 07 2015
Carly Fiorina,0.945616957,Jun 14 2015
Carly Fiorina,0.972618148,Jun 21 2015
Carly Fiorina,0.60349618,Jun 28 2015
Carly Fiorina,0.530212107,Jul 05 2015
Carly Fiorina,0.70085975,Jul 12 2015
Carly Fiorina,0.798674462,Jul 19 2015
Carly Fiorina,0.793269092,Jul 26 2015
Carly Fiorina,11.22335745,Aug 02 2015
Carly Fiorina,7.296205984,Aug 09 2015
Carly Fiorina,3.026931303,Aug 16 2015
Carly Fiorina,1.777676522,Aug 23 2015
Carly Fiorina,1.963000897,Aug 30 2015
Carly Fiorina,5.428119434,Sep 06 2015
Carly Fiorina,25.30705784,Sep 13 2015
Carly Fiorina,11.59548153,Sep 20 2015
Carly Fiorina,4.224635178,Sep 27 2015
Carly Fiorina,2.151045299,Oct 04 2015
Carly Fiorina,1.786197217,Oct 11 2015
Carly Fiorina,1.263531482,Oct 18 2015
Carly Fiorina,3.203497036,Oct 25 2015
Carly Fiorina,3.209766038,Nov 01 2015
Carly Fiorina,3.395319966,Nov 08 2015
Carly Fiorina,1.04783145,Nov 15 2015
Carly Fiorina,0.799351978,Nov 22 2015
Carly Fiorina,1.285026744,Nov 29 2015
Carly Fiorina,1.013622811,Dec 06 2015
Carly Fiorina,3.636328648,Dec 13 2015
Carly Fiorina,1.217878392,Dec 20 2015
Carly Fiorina,1.188848759,Dec 27 2015
Carly Fiorina,1.019012426,Jan 03 2016
Carly Fiorina,1.696947646,Jan 10 2016
Carly Fiorina,1.118996952,Jan 17 2016
Carly Fiorina,1.953848973,Jan 24 2016
Carly Fiorina,2.526312008,Jan 31 2016
Carly Fiorina,4.22970367,Feb 07 2016
Carly Fiorina,0.798856103,Feb 14 2016
Carly Fiorina,0.759954154,Feb 21 2016
Carly Fiorina,0.583959718,Feb 28 2016
Carly Fiorina,1.312302504,Mar 06 2016
Carly Fiorina,0.754720076,Mar 13 2016
Carly Fiorina,0.435172008,Mar 20 2016
Carly Fiorina,0,Mar 27 2016
Jim Gilmore,0,Dec 28 2014
Jim Gilmore,0,Jan 04 2015
Jim Gilmore,0,Jan 11 2015
Jim Gilmore,0,Jan 18 2015
Jim Gilmore,0,Jan 25 2015
Jim Gilmore,0,Feb 01 2015
Jim Gilmore,0,Feb 08 2015
Jim Gilmore,0,Feb 15 2015
Jim Gilmore,0,Feb 22 2015
Jim Gilmore,0,Mar 01 2015
Jim Gilmore,0,Mar 08 2015
Jim Gilmore,0,Mar 15 2015
Jim Gilmore,0,Mar 22 2015
Jim Gilmore,0,Mar 29 2015
Jim Gilmore,0,Apr 05 2015
Jim Gilmore,0,Apr 12 2015
Jim Gilmore,0,Apr 19 2015
Jim Gilmore,0,Apr 26 2015
Jim Gilmore,0,May 03 2015
Jim Gilmore,0,May 10 2015
Jim Gilmore,0,May 17 2015
Jim Gilmore,0,May 24 2015
Jim Gilmore,0,May 31 2015
Jim Gilmore,0,Jun 07 2015
Jim Gilmore,0,Jun 14 2015
Jim Gilmore,0,Jun 21 2015
Jim Gilmore,0,Jun 28 2015
Jim Gilmore,0.112684167,Jul 05 2015
Jim Gilmore,0.181719236,Jul 12 2015
Jim Gilmore,0.250754306,Jul 19 2015
Jim Gilmore,0.319789375,Jul 26 2015
