date,key,value
02/14/2016,Chris Christie,1.66
02/21/2016,Chris Christie,4.93
02/28/2016,Chris Christie,10.98
03/06/2016,Chris Christie,2.20
03/13/2016,Chris Christie,1.84
03/20/2016,Chris Christie,0.89
03/27/2016,Chris Christie,1.06
04/03/2016,Chris Christie,1.53
04/10/2016,Chris Christie,0.56
04/17/2016,Chris Christie,0.50
04/24/2016,Chris Christie,1.02
05/01/2016,Chris Christie,0.77
05/08/2016,Chris Christie,0.74
05/15/2016,Chris Christie,1.05
05/22/2016,Chris Christie,0.49
05/29/2016,Chris Christie,0.40
12/28/2014,Ted Cruz,0.37
01/04/2015,Ted Cruz,0.39
01/11/2015,Ted Cruz,1.36
01/18/2015,Ted Cruz,1.02
01/25/2015,Ted Cruz,0.93
02/01/2015,Ted Cruz,0.53
02/08/2015,Ted Cruz,0.57
02/15/2015,Ted Cruz,0.45
02/22/2015,Ted Cruz,0.78
03/01/2015,Ted Cruz,0.60
03/08/2015,Ted Cruz,0.69
03/15/2015,Ted Cruz,1.39
03/22/2015,Ted Cruz,29.86
03/29/2015,Ted Cruz,3.73
04/05/2015,Ted Cruz,2.82
04/12/2015,Ted Cruz,3.80
04/19/2015,Ted Cruz,2.16
04/26/2015,Ted Cruz,1.77
05/03/2015,Ted Cruz,1.31
05/10/2015,Ted Cruz,1.41
05/17/2015,Ted Cruz,1.29
05/24/2015,Ted Cruz,1.49
05/31/2015,Ted Cruz,2.09
06/07/2015,Ted Cruz,1.10
06/14/2015,Ted Cruz,0.92
06/21/2015,Ted Cruz,1.64
06/28/2015,Ted Cruz,3.03
07/05/2015,Ted Cruz,1.85
07/12/2015,Ted Cruz,1.48
07/19/2015,Ted Cruz,2.18
07/26/2015,Ted Cruz,2.08
08/02/2015,Ted Cruz,6.44
08/09/2015,Ted Cruz,3.24
08/16/2015,Ted Cruz,2.73
08/23/2015,Ted Cruz,2.47
08/30/2015,Ted Cruz,1.93
09/06/2015,Ted Cruz,2.26
