date,Candidate,search interest (indexed 1-100),
Aug 1 2015,Jeb Bush,1.69,
Aug 2 2015,Jeb Bush,1.79,
Aug 3 2015,Jeb Bush,1.23,
Aug 4 2015,Jeb Bush,1.78,
Aug 5 2015,Jeb Bush,3.32,
Aug 6 2015,Jeb Bush,3.62,
Aug 7 2015,Jeb Bush,16.05,
Aug 8 2015,Jeb Bush,4.17,
Aug 9 2015,Jeb Bush,2.89,
Aug 10 2015,Jeb Bush,2.44,
Aug 11 2015,Jeb Bush,2.20,
Aug 12 2015,Jeb Bush,2.51,
Aug 13 2015,Jeb Bush,2.41,
Aug 14 2015,Jeb Bush,2.26,
Aug 15 2015,Jeb Bush,2.33,
Aug 16 2015,Jeb Bush,1.80,
Aug 17 2015,Jeb Bush,1.46,
Aug 18 2015,Jeb Bush,1.68,
Aug 19 2015,Jeb Bush,1.97,
Aug 20 2015,Jeb Bush,3.48,
Aug 21 2015,Jeb Bush,2.55,
Aug 22 2015,Jeb Bush,2.75,
Aug 23 2015,Jeb Bush,2.76,
Aug 24 2015,Jeb Bush,2.50,
Aug 25 2015,Jeb Bush,4.09,
Aug 26 2015,Jeb Bush,3.02,
Aug 27 2015,Jeb Bush,2.30,
Aug 28 2015,Jeb Bush,2.14,
Aug 29 2015,Jeb Bush,2.37,
Aug 30 2015,Jeb Bush,2.02,
Aug 31 2015,Jeb Bush,1.68,
Sep 1 2015,Jeb Bush,2.03,
Sep 2 2015,Jeb Bush,2.55,
Sep 3 2015,Jeb Bush,3.53,
Sep 4 2015,Jeb Bush,3.54,
Sep 5 2015,Jeb Bush,1.69,
Sep 6 2015,Jeb Bush,1.76,
Sep 7 2015,Jeb Bush,1.63,
Sep 8 2015,Jeb Bush,1.48,
Sep 9 2015,Jeb Bush,4.63,
Sep 10 2015,Jeb Bush,3.98,
Sep 11 2015,Jeb Bush,2.45,
Sep 12 2015,Jeb Bush,1.88,
Sep 13 2015,Jeb Bush,1.36,
Sep 14 2015,Jeb Bush,1.47,
Sep 15 2015,Jeb Bush,1.92,
Sep 16 2015,Jeb Bush,2.69,
Sep 17 2015,Jeb Bush,27.39,
Sep 18 2015,Jeb Bush,7.12,
Sep 19 2015,Jeb Bush,4.39,
