key,value,date
Hillary Clinton,21.46,12/20/15
Hillary Clinton,11.71,12/21/15
Hillary Clinton,23.1,12/22/15
Hillary Clinton,25.39,12/23/15
Hillary Clinton,12.75,12/24/15
Hillary Clinton,8.07,12/25/15
Hillary Clinton,6.89,12/26/15
Hillary Clinton,7.71,12/27/15
Hillary Clinton,6.78,12/28/15
Hillary Clinton,7.46,12/29/15
Hillary Clinton,7.12,12/30/15
Hillary Clinton,6.61,12/31/15
Hillary Clinton,7.03,01/1/16
Hillary Clinton,6.61,01/2/16
Hillary Clinton,7.45,01/3/16
Hillary Clinton,7.8,01/4/16
Hillary Clinton,8.18,01/5/16
Hillary Clinton,7.94,01/6/16
Hillary Clinton,8.95,01/7/16
Hillary Clinton,9.9,01/8/16
Hillary Clinton,9.52,01/9/16
Hillary Clinton,8.09,01/10/16
Hillary Clinton,9.23,01/11/16
Hillary Clinton,12.23,01/12/16
Hillary Clinton,13.19,01/13/16
Hillary Clinton,10.95,01/14/16
Hillary Clinton,14.58,01/15/16
Hillary Clinton,12.91,01/16/16
Hillary Clinton,15.24,01/17/16
Hillary Clinton,26.98,01/18/16
Hillary Clinton,15,01/19/16
Hillary Clinton,19.78,01/20/16
Hillary Clinton,15.26,01/21/16
Hillary Clinton,13.79,01/22/16
Hillary Clinton,11.9,01/23/16
Hillary Clinton,11.64,01/24/16
Hillary Clinton,11.21,01/25/16
Hillary Clinton,19.45,01/26/16
Hillary Clinton,16,01/27/16
Hillary Clinton,14.07,01/28/16
Hillary Clinton,17.42,01/29/16
Hillary Clinton,19.48,01/30/16
Hillary Clinton,17.54,01/31/16
Hillary Clinton,18.25,02/1/16
Hillary Clinton,51.31,02/2/16
Hillary Clinton,25.47,02/3/16
Hillary Clinton,25.48,02/4/16
Hillary Clinton,31.07,02/5/16
Hillary Clinton,20.45,02/6/16
Hillary Clinton,19.63,02/7/16
Hillary Clinton,16.95,02/8/16
Hillary Clinton,19.56,02/9/16
Hillary Clinton,36.91,02/10/16
Hillary Clinton,24,02/11/16
Hillary Clinton,34.58,02/12/16
Hillary Clinton,20.88,02/13/16
Hillary Clinton,17.38,02/14/16
Hillary Clinton,14.39,02/15/16
Hillary Clinton,17.51,02/16/16
Hillary Clinton,19.37,02/17/16
Hillary Clinton,16.98,02/18/16
Hillary Clinton,20.46,02/19/16
Hillary Clinton,23.64,02/20/16
Hillary Clinton,33.98,02/21/16
Hillary Clinton,20.12,02/22/16
Hillary Clinton,18.68,02/23/16
Hillary Clinton,24.81,02/24/16
Hillary Clinton,22.21,02/25/16
Hillary Clinton,24.3,02/26/16
Hillary Clinton,23.99,02/27/16
Hillary Clinton,37.94,02/28/16
Hillary Clinton,23.27,02/29/16
Hillary Clinton,34.45,03/1/16
Hillary Clinton,62.45,03/2/16
Hillary Clinton,35.34,03/3/16
Hillary Clinton,30.62,03/4/16
Hillary Clinton,23.97,03/5/16
Hillary Clinton,31.17,03/6/16
Hillary Clinton,33.8,03/7/16
Hillary Clinton,24.64,03/8/16
Hillary Clinton,35.59,03/9/16
Hillary Clinton,32.18,03/10/16
Hillary Clinton,25.48,03/11/16
Hillary Clinton,26.53,03/12/16
Hillary Clinton,26.42,03/13/16
Hillary Clinton,28.23,03/14/16
Hillary Clinton,33.44,03/15/16
Hillary Clinton,58.52,03/16/16
Hillary Clinton,32.72,03/17/16
Hillary Clinton,25.5,03/18/16
Hillary Clinton,21.19,03/19/16
Hillary Clinton,19.23,03/20/16
Hillary Clinton,19.48,03/21/16
Bernie Sanders,0,01/1/15
Bernie Sanders,0.53,01/2/15
Bernie Sanders,0.57,01/3/15
Bernie Sanders,0.59,01/4/15
Bernie Sanders,0.49,01/5/15
Bernie Sanders,0.51,01/6/15
Bernie Sanders,0.51,01/7/15
Bernie Sanders,0.5,01/8/15
Bernie Sanders,0.51,01/9/15
Bernie Sanders,0.52,01/10/15
Bernie Sanders,0.53,01/11/15
Bernie Sanders,0.57,01/12/15
Bernie Sanders,0.47,01/13/15
Bernie Sanders,0.57,01/14/15
Bernie Sanders,0.52,01/15/15
Bernie Sanders,0.52,01/16/15
Bernie Sanders,0.48,01/17/15
Bernie Sanders,0.48,01/18/15
Bernie Sanders,0.48,01/19/15
Bernie Sanders,0.48,01/20/15
Bernie Sanders,0.57,01/21/15
Bernie Sanders,0.5,01/22/15
Bernie Sanders,0.57,01/23/15
Bernie Sanders,0.55,01/24/15
Bernie Sanders,0.51,01/25/15
Bernie Sanders,0.5,01/26/15
Bernie Sanders,0.46,01/27/15
Bernie Sanders,0.51,01/28/15
Bernie Sanders,0.55,01/29/15
Bernie Sanders,0.55,01/30/15
Bernie Sanders,0.56,01/31/15
Bernie Sanders,0.65,02/1/15
Bernie Sanders,0.45,02/2/15
Bernie Sanders,0.47,02/3/15
Bernie Sanders,0.51,02/4/15
Bernie Sanders,0.51,02/5/15
Bernie Sanders,0.55,02/6/15
Bernie Sanders,0.56,02/7/15
Bernie Sanders,0.57,02/8/15
Bernie Sanders,0.57,02/9/15
Bernie Sanders,0.76,02/10/15
Bernie Sanders,0.63,02/11/15
Bernie Sanders,0.48,02/12/15
Bernie Sanders,0.48,02/13/15
Bernie Sanders,0.57,02/14/15
Bernie Sanders,0.61,02/15/15
Bernie Sanders,0.5,02/16/15
Bernie Sanders,0.49,02/17/15
Bernie Sanders,0.52,02/18/15
Bernie Sanders,0.51,02/19/15
Bernie Sanders,0.47,02/20/15
Bernie Sanders,0.57,02/21/15
Bernie Sanders,0.66,02/22/15
Bernie Sanders,0.57,02/23/15
Bernie Sanders,0.54,02/24/15
Bernie Sanders,0.44,02/25/15
Bernie Sanders,0.54,02/26/15
Bernie Sanders,0.48,02/27/15
Bernie Sanders,0.57,02/28/15
Bernie Sanders,0.49,03/1/15
Bernie Sanders,0.53,03/2/15
Bernie Sanders,0.5,03/3/15
Bernie Sanders,0.64,03/4/15
Bernie Sanders,0.58,03/5/15
Bernie Sanders,0.5,03/6/15
Bernie Sanders,0.54,03/7/15
Bernie Sanders,0.56,03/8/15
Bernie Sanders,0.48,03/9/15
Bernie Sanders,0.59,03/10/15
Bernie Sanders,0.58,03/11/15
Bernie Sanders,0.56,03/12/15
Bernie Sanders,0.55,03/13/15
Bernie Sanders,0.58,03/14/15
Bernie Sanders,0.61,03/15/15
Bernie Sanders,0.55,03/16/15
Bernie Sanders,0.49,03/17/15
Bernie Sanders,0.54,03/18/15
Bernie Sanders,0.56,03/19/15
Bernie Sanders,0.51,03/20/15
Bernie Sanders,0.53,03/21/15
Bernie Sanders,0.56,03/22/15
Bernie Sanders,0.7,03/23/15
Bernie Sanders,0.55,03/24/15
Bernie Sanders,0.55,03/25/15
Bernie Sanders,0.55,03/26/15
Bernie Sanders,0.56,03/27/15
Bernie Sanders,0.6,03/28/15
Bernie Sanders,0.64,03/29/15
Bernie Sanders,0.68,03/30/15
Bernie Sanders,0.6,03/31/15
Bernie Sanders,0.59,04/1/15
Bernie Sanders,0.57,04/2/15
Bernie Sanders,0.55,04/3/15
Bernie Sanders,0.56,04/4/15
Bernie Sanders,0.48,04/5/15
Bernie Sanders,0.48,04/6/15
Bernie Sanders,0.55,04/7/15
Bernie Sanders,0.63,04/8/15
Bernie Sanders,0.75,04/9/15
Bernie Sanders,0.61,04/10/15
Bernie Sanders,0.59,04/11/15
Bernie Sanders,0.8,04/12/15
Bernie Sanders,1.06,04/13/15
Bernie Sanders,0.76,04/14/15
Bernie Sanders,0.85,04/15/15
Bernie Sanders,1.02,04/16/15
Bernie Sanders,0.85,04/17/15
Bernie Sanders,0.64,04/18/15
Bernie Sanders,0.91,04/19/15
Bernie Sanders,0.8,04/20/15
Bernie Sanders,0.66,04/21/15
Bernie Sanders,0.64,04/22/15
Bernie Sanders,0.71,04/23/15
Bernie Sanders,0.61,04/24/15
Bernie Sanders,0.79,04/25/15
Bernie Sanders,0.99,04/26/15
Bernie Sanders,0.85,04/27/15
Bernie Sanders,2.6,04/28/15
Bernie Sanders,7.07,04/29/15
Bernie Sanders,17.8,04/30/15
Bernie Sanders,9.23,05/1/15
Bernie Sanders,7.52,05/2/15
Bernie Sanders,6.19,05/3/15
Bernie Sanders,4.93,05/4/15
Bernie Sanders,4.71,05/5/15
Bernie Sanders,3.97,05/6/15
Bernie Sanders,3.7,05/7/15
Bernie Sanders,2.91,05/8/15
Bernie Sanders,2.99,05/9/15
Bernie Sanders,3.34,05/10/15
Bernie Sanders,2.54,05/11/15
Bernie Sanders,2.29,05/12/15
Bernie Sanders,2.11,05/13/15
Bernie Sanders,2.08,05/14/15
Bernie Sanders,1.92,05/15/15
Bernie Sanders,1.7,05/16/15
Bernie Sanders,1.95,05/17/15
Bernie Sanders,2.23,05/18/15
Bernie Sanders,3.74,05/19/15
Bernie Sanders,3.58,05/20/15
Bernie Sanders,2.56,05/21/15
Bernie Sanders,1.97,05/22/15
Bernie Sanders,1.86,05/23/15
Bernie Sanders,2.12,05/24/15
Bernie Sanders,1.88,05/25/15
Bernie Sanders,4.52,05/26/15
Bernie Sanders,6.14,05/27/15
Bernie Sanders,4.11,05/28/15
Bernie Sanders,4.36,05/29/15
Bernie Sanders,4.28,05/30/15
Bernie Sanders,4.51,05/31/15
Bernie Sanders,4.38,06/1/15
Bernie Sanders,3.95,06/2/15
Bernie Sanders,3.52,06/3/15
Bernie Sanders,3.43,06/4/15
Bernie Sanders,3.3,06/5/15
Bernie Sanders,2.86,06/6/15
Bernie Sanders,2.89,06/7/15
Bernie Sanders,2.82,06/8/15
Bernie Sanders,2.9,06/9/15
Bernie Sanders,3.19,06/10/15
Bernie Sanders,3.37,06/11/15
Bernie Sanders,3.54,06/12/15
Bernie Sanders,3.85,06/13/15
Bernie Sanders,5.09,06/14/15
Bernie Sanders,4.1,06/15/15
Bernie Sanders,5.89,06/16/15
Bernie Sanders,7.35,06/17/15
Bernie Sanders,5.05,06/18/15
Bernie Sanders,4.98,06/19/15
Bernie Sanders,6.05,06/20/15
Bernie Sanders,5.44,06/21/15
Bernie Sanders,4.7,06/22/15
Bernie Sanders,4.35,06/23/15
Bernie Sanders,4.23,06/24/15
Bernie Sanders,5.82,06/25/15
Bernie Sanders,6.33,06/26/15
Bernie Sanders,6.02,06/27/15
Bernie Sanders,6.32,06/28/15
Bernie Sanders,5.71,06/29/15
Bernie Sanders,6.55,06/30/15
Bernie Sanders,7.13,07/1/15
Bernie Sanders,13.79,07/2/15
Bernie Sanders,11.32,07/3/15
Bernie Sanders,9.06,07/4/15
Bernie Sanders,8.64,07/5/15
Bernie Sanders,7.69,07/6/15
Bernie Sanders,10.01,07/7/15
Bernie Sanders,8.68,07/8/15
Bernie Sanders,8.49,07/9/15
Bernie Sanders,8.17,07/10/15
Bernie Sanders,7.13,07/11/15
Bernie Sanders,7.66,07/12/15
Bernie Sanders,6.71,07/13/15
Bernie Sanders,6.38,07/14/15
Bernie Sanders,5.88,07/15/15
Bernie Sanders,6.32,07/16/15
Bernie Sanders,5.97,07/17/15
Bernie Sanders,6.94,07/18/15
Bernie Sanders,10.33,07/19/15
Bernie Sanders,8.33,07/20/15
Bernie Sanders,7.32,07/21/15
Bernie Sanders,6.63,07/22/15
Bernie Sanders,5.68,07/23/15
Bernie Sanders,5.77,07/24/15
Bernie Sanders,5.82,07/25/15
Bernie Sanders,7.15,07/26/15
Bernie Sanders,6.35,07/27/15
Bernie Sanders,6.13,07/28/15
Bernie Sanders,7.55,07/29/15
Bernie Sanders,8.79,07/30/15
Bernie Sanders,6.02,07/31/15
Bernie Sanders,5.47,08/1/15
Bernie Sanders,5.88,08/2/15
Bernie Sanders,5,08/3/15
Bernie Sanders,5.54,08/4/15
Bernie Sanders,6.36,08/5/15
Bernie Sanders,7.3,08/6/15
Bernie Sanders,14.87,08/7/15
Bernie Sanders,12.02,08/8/15
Bernie Sanders,30.94,08/9/15
Bernie Sanders,29.25,08/10/15
Bernie Sanders,23.67,08/11/15
Bernie Sanders,21.92,08/12/15
Bernie Sanders,17.61,08/13/15
Bernie Sanders,12.73,08/14/15
Bernie Sanders,11.93,08/15/15
Bernie Sanders,12.81,08/16/15
Bernie Sanders,10.54,08/17/15
Bernie Sanders,11.22,08/18/15
Bernie Sanders,10.5,08/19/15
Bernie Sanders,10.2,08/20/15
Bernie Sanders,10.4,08/21/15
Bernie Sanders,11.36,08/22/15
Bernie Sanders,9.87,08/23/15
Bernie Sanders,7.67,08/24/15
Bernie Sanders,8.25,08/25/15
Bernie Sanders,8.29,08/26/15
Bernie Sanders,8.05,08/27/15
Bernie Sanders,8.19,08/28/15
Bernie Sanders,9.71,08/29/15
Bernie Sanders,12.88,08/30/15
Bernie Sanders,10.32,08/31/15
Bernie Sanders,9.76,09/1/15
Bernie Sanders,9.33,09/2/15
Bernie Sanders,8.9,09/3/15
Bernie Sanders,7.88,09/4/15
Bernie Sanders,8.11,09/5/15
Bernie Sanders,10.16,09/6/15
