date,key,value
03/06/16,Lawrence Lessig,0
03/13/16,Lawrence Lessig,0
03/20/16,Lawrence Lessig,0
03/27/16,Lawrence Lessig,0
04/03/16,Lawrence Lessig,0
12/28/14,Martin O'Malley,0
01/04/15,Martin O'Malley,0
01/11/15,Martin O'Malley,0
01/18/15,Martin O'Malley,0
01/25/15,Martin O'Malley,0
02/01/15,Martin O'Malley,0
02/08/15,Martin O'Malley,0
02/15/15,Martin O'Malley,0
02/22/15,Martin O'Malley,0
03/01/15,Martin O'Malley,0.12708924
03/08/15,Martin O'Malley,0.179555227
03/15/15,Martin O'Malley,0.137956466
03/22/15,Martin O'Malley,0.137956466
03/29/15,Martin O'Malley,0.170579208
04/05/15,Martin O'Malley,0.245951739
04/12/15,Martin O'Malley,0.321324269
04/19/15,Martin O'Malley,0.247468931
04/26/15,Martin O'Malley,0.416212573
05/03/15,Martin O'Malley,0.127587942
05/10/15,Martin O'Malley,0.23479855
05/17/15,Martin O'Malley,0.34200915
05/24/15,Martin O'Malley,0.449219758
05/31/15,Martin O'Malley,0.485500289
06/07/15,Martin O'Malley,0.1469951
06/14/15,Martin O'Malley,0.1469951
06/21/15,Martin O'Malley,0.14813763
06/28/15,Martin O'Malley,0.14928016
07/05/15,Martin O'Malley,0.150422683
07/12/15,Martin O'Malley,0.151565213
07/19/15,Martin O'Malley,0.373682024
07/26/15,Martin O'Malley,0.138233054
08/02/15,Martin O'Malley,0.159787832
08/09/15,Martin O'Malley,0.17035955
08/16/15,Martin O'Malley,0.168404466
08/23/15,Martin O'Malley,0.159733078
08/30/15,Martin O'Malley,0.134212337
09/06/15,Martin O'Malley,0.145023915
09/13/15,Martin O'Malley,0.155835493
09/20/15,Martin O'Malley,0.140407399
09/27/15,Martin O'Malley,0.144197569
10/04/15,Martin O'Malley,0.147987745
10/11/15,Martin O'Malley,1.604947704
10/18/15,Martin O'Malley,0.430687736
10/25/15,Martin O'Malley,0.244145401
11/01/15,Martin O'Malley,0.287665219
11/08/15,Martin O'Malley,0.26692529
11/15/15,Martin O'Malley,0.680514478
11/22/15,Martin O'Malley,0.131136068
11/29/15,Martin O'Malley,0.178418654
12/06/15,Martin O'Malley,0.208071595
12/13/15,Martin O'Malley,0.205746354
12/20/15,Martin O'Malley,0.746796627
12/27/15,Martin O'Malley,0.179109152
01/03/16,Martin O'Malley,0.180289582
01/10/16,Martin O'Malley,0.227693905
01/17/16,Martin O'Malley,1.289877876
01/24/16,Martin O'Malley,0.695284137
