Date,Candidate,Search interest (indexed 1-100)
Aug 31 2015,Hillary Clinton,7.35
Sep 1 2015,Hillary Clinton,9.05
Sep 2 2015,Hillary Clinton,7.09
Sep 3 2015,Hillary Clinton,7.83
Sep 4 2015,Hillary Clinton,8.97
Sep 5 2015,Hillary Clinton,7.75
Sep 6 2015,Hillary Clinton,7.10
Sep 7 2015,Hillary Clinton,6.90
Sep 8 2015,Hillary Clinton,6.93
Sep 9 2015,Hillary Clinton,9.12
Sep 10 2015,Hillary Clinton,9.06
Sep 11 2015,Hillary Clinton,8.65
Sep 12 2015,Hillary Clinton,7.60
Sep 13 2015,Hillary Clinton,6.82
Sep 14 2015,Hillary Clinton,6.49
Sep 15 2015,Hillary Clinton,7.31
Sep 16 2015,Hillary Clinton,6.67
Sep 17 2015,Hillary Clinton,14.23
Sep 18 2015,Hillary Clinton,10.44
Sep 19 2015,Hillary Clinton,8.08
Sep 20 2015,Hillary Clinton,6.91
Sep 21 2015,Hillary Clinton,7.25
Sep 22 2015,Hillary Clinton,8.30
Sep 23 2015,Hillary Clinton,7.91
Sep 24 2015,Hillary Clinton,6.55
Sep 25 2015,Hillary Clinton,6.48
Sep 26 2015,Hillary Clinton,5.67
Sep 27 2015,Hillary Clinton,6.65
Sep 28 2015,Hillary Clinton,6.13
Sep 29 2015,Hillary Clinton,6.40
Sep 30 2015,Hillary Clinton,6.05
Oct 1 2015,Hillary Clinton,6.77
Oct 2 2015,Hillary Clinton,5.96
Oct 3 2015,Hillary Clinton,5.82
Oct 4 2015,Hillary Clinton,14.80
Oct 5 2015,Hillary Clinton,12.33
Oct 6 2015,Hillary Clinton,9.26
Oct 7 2015,Hillary Clinton,8.55
Oct 8 2015,Hillary Clinton,8.49
Oct 9 2015,Hillary Clinton,6.56
Oct 10 2015,Hillary Clinton,5.79
Oct 11 2015,Hillary Clinton,6.65
Oct 12 2015,Hillary Clinton,6.84
Oct 13 2015,Hillary Clinton,10.00
Oct 14 2015,Hillary Clinton,37.15
Oct 15 2015,Hillary Clinton,15.21
Oct 16 2015,Hillary Clinton,11.68
Oct 17 2015,Hillary Clinton,9.59
Oct 18 2015,Hillary Clinton,8.88
Oct 19 2015,Hillary Clinton,9.68
Oct 20 2015,Hillary Clinton,13.39
Oct 21 2015,Hillary Clinton,13.48
Oct 22 2015,Hillary Clinton,32.56
Oct 23 2015,Hillary Clinton,34.04
Oct 24 2015,Hillary Clinton,18.75
Oct 25 2015,Hillary Clinton,14.19
Oct 26 2015,Hillary Clinton,12.42
Oct 27 2015,Hillary Clinton,10.44
Oct 28 2015,Hillary Clinton,10.29
Oct 29 2015,Hillary Clinton,10.88
Oct 30 2015,Hillary Clinton,8.65
Oct 31 2015,Hillary Clinton,7.69
Nov 1 2015,Hillary Clinton,6.03
Nov 2 2015,Hillary Clinton,6.40
Nov 3 2015,Hillary Clinton,6.97
Nov 4 2015,Hillary Clinton,6.94
Nov 5 2015,Hillary Clinton,6.97
Nov 6 2015,Hillary Clinton,7.73
Nov 7 2015,Hillary Clinton,8.26
Nov 8 2015,Hillary Clinton,6.67
Nov 9 2015,Hillary Clinton,6.02
Nov 10 2015,Hillary Clinton,6.31
Nov 11 2015,Hillary Clinton,8.14
Nov 12 2015,Hillary Clinton,8.95
Nov 13 2015,Hillary Clinton,7.80
Nov 14 2015,Hillary Clinton,6.56
Nov 15 2015,Hillary Clinton,14.86
Nov 16 2015,Hillary Clinton,7.35
Nov 17 2015,Hillary Clinton,6.46
Nov 18 2015,Hillary Clinton,6.05
Nov 19 2015,Hillary Clinton,7.36
Nov 20 2015,Hillary Clinton,7.07
Nov 21 2015,Hillary Clinton,5.47
Nov 22 2015,Hillary Clinton,4.97
Nov 23 2015,Hillary Clinton,5.52
Nov 24 2015,Hillary Clinton,5.56
Nov 25 2015,Hillary Clinton,4.66
Nov 26 2015,Hillary Clinton,4.31
Nov 27 2015,Hillary Clinton,4.03
Nov 28 2015,Hillary Clinton,3.78
Nov 29 2015,Hillary Clinton,4.23
Nov 30 2015,Hillary Clinton,4.42
Dec 1 2015,Hillary Clinton,5.34
Dec 2 2015,Hillary Clinton,5.92
Dec 3 2015,Hillary Clinton,5.53
Dec 4 2015,Hillary Clinton,5.38
Dec 5 2015,Hillary Clinton,4.92
Dec 6 2015,Hillary Clinton,4.86
Dec 7 2015,Hillary Clinton,5.27
Dec 8 2015,Hillary Clinton,6.40
Dec 9 2015,Hillary Clinton,7.47
Dec 10 2015,Hillary Clinton,7.09
Dec 11 2015,Hillary Clinton,6.70
Dec 12 2015,Hillary Clinton,5.79
Dec 13 2015,Hillary Clinton,5.06
Dec 14 2015,Hillary Clinton,5.51
Dec 15 2015,Hillary Clinton,6.47
Dec 16 2015,Hillary Clinton,9.10
Dec 17 2015,Hillary Clinton,7.26
Dec 18 2015,Hillary Clinton,6.65
Dec 19 2015,Hillary Clinton,7.55
Dec 20 2015,Hillary Clinton,21.46
Dec 21 2015,Hillary Clinton,11.71
Dec 22 2015,Hillary Clinton,23.10
Dec 23 2015,Hillary Clinton,25.39
Dec 24 2015,Hillary Clinton,12.75
Dec 25 2015,Hillary Clinton,8.07
Dec 26 2015,Hillary Clinton,6.89
Dec 27 2015,Hillary Clinton,7.71
Dec 28 2015,Hillary Clinton,6.78
Dec 29 2015,Hillary Clinton,7.46
Dec 30 2015,Hillary Clinton,7.12
Dec 31 2015,Hillary Clinton,6.61
Jan 1 2016,Hillary Clinton,7.03
Jan 2 2016,Hillary Clinton,6.61
Jan 3 2016,Hillary Clinton,7.45
Jan 4 2016,Hillary Clinton,7.80
Jan 5 2016,Hillary Clinton,8.18
Jan 6 2016,Hillary Clinton,7.94
Jan 7 2016,Hillary Clinton,8.95
Jan 8 2016,Hillary Clinton,9.90
Jan 9 2016,Hillary Clinton,9.52
Jan 10 2016,Hillary Clinton,8.09
Jan 11 2016,Hillary Clinton,9.23
Jan 12 2016,Hillary Clinton,12.23
Jan 13 2016,Hillary Clinton,13.19
Jan 14 2016,Hillary Clinton,10.95
Jan 15 2016,Hillary Clinton,14.58
Jan 16 2016,Hillary Clinton,12.91
Jan 17 2016,Hillary Clinton,15.24
Jan 18 2016,Hillary Clinton,26.98
Jan 19 2016,Hillary Clinton,15.00
Jan 20 2016,Hillary Clinton,19.78
Jan 21 2016,Hillary Clinton,15.26
Jan 22 2016,Hillary Clinton,13.79
Jan 23 2016,Hillary Clinton,11.90
Jan 24 2016,Hillary Clinton,11.64
Jan 25 2016,Hillary Clinton,11.21
Jan 26 2016,Hillary Clinton,19.45
Jan 27 2016,Hillary Clinton,16.00
Jan 28 2016,Hillary Clinton,14.07
Jan 29 2016,Hillary Clinton,17.42
Jan 30 2016,Hillary Clinton,19.48
Jan 31 2016,Hillary Clinton,17.54
Feb 1 2016,Hillary Clinton,18.25
Feb 2 2016,Hillary Clinton,51.31
Feb 3 2016,Hillary Clinton,25.47
Feb 4 2016,Hillary Clinton,25.48
Feb 5 2016,Hillary Clinton,31.07
Feb 6 2016,Hillary Clinton,20.45
Feb 7 2016,Hillary Clinton,19.63
Feb 8 2016,Hillary Clinton,16.95
Feb 9 2016,Hillary Clinton,19.56
Feb 10 2016,Hillary Clinton,36.91
Feb 11 2016,Hillary Clinton,24.00
Feb 12 2016,Hillary Clinton,34.58
Feb 13 2016,Hillary Clinton,20.88
